,model_name,temp_uncertainty,test_error,test_std,Hour
52,xgb_best_max_hour,8,183.9295053406765,8.43664402629656,20
53,xgb_best_max_hour,9,190.7298126360881,9.286877337080615,20
54,xgb_best_max_hour,10,197.508780965096,10.877268262485847,20
55,lin_xgb_best_per_hour,0,87.81219187727173,0.0,20
56,lin_xgb_best_per_hour,1,90.75745028438838,1.4014986076154121,20
57,lin_xgb_best_per_hour,2,99.3521261312874,2.5186865657178292,20
58,lin_xgb_best_per_hour,3,111.72578912547752,3.599144068754321,20
59,lin_xgb_best_per_hour,4,126.29937897802475,4.805138305888329,20
60,lin_xgb_best_per_hour,5,141.99885918211828,4.808957516671455,20
61,lin_xgb_best_per_hour,6,158.43386766224327,6.915657768135484,20
62,lin_xgb_best_per_hour,7,177.47706444991607,6.946412964319436,20
63,lin_xgb_best_per_hour,8,193.31144811707625,8.797301024177163,20
64,lin_xgb_best_per_hour,9,212.80165938614016,10.426262913601677,20
65,lin_xgb_best_per_hour,10,228.58110339860036,10.677371782682508,20
66,lin_xgb_best_max_hour,0,85.57557725251071,0.0,20
67,lin_xgb_best_max_hour,1,90.86797170935468,1.6886429144501525,20
68,lin_xgb_best_max_hour,2,99.92358960884239,2.774888326826749,20
69,lin_xgb_best_max_hour,3,112.83720376649966,4.299722991643727,20
70,lin_xgb_best_max_hour,4,128.59873263420593,5.231809710359055,20
71,lin_xgb_best_max_hour,5,144.95319347307466,5.511381225029868,20
72,lin_xgb_best_max_hour,6,160.98345785710617,6.557231059972789,20
73,lin_xgb_best_max_hour,7,176.29682812663413,7.283332075627476,20
74,lin_xgb_best_max_hour,8,195.1543261534623,7.5317168149689975,20
75,lin_xgb_best_max_hour,9,212.85547994335747,8.262474299347346,20
76,lin_xgb_best_max_hour,10,229.75115650523676,11.04217580534675,20
0,linears,0,82.12706357123207,0.0,21
1,linears,1,81.14113883860459,0.9724651947317278,21
2,linears,2,86.89166744397644,2.10097139764695,21
3,linears,3,95.65575933072783,2.8229135844282878,21
4,linears,4,106.45465093869389,3.74398233539906,21
5,linears,5,117.12233939608119,4.275996014436494,21
6,linears,6,130.12599952404778,5.122672480877338,21
7,linears,7,142.4285257286436,5.278472831002537,21
8,linears,8,155.7156331513415,6.975182135948783,21
9,linears,9,170.67105444774882,8.29290169327934,21
10,linears,10,185.23513196335836,9.114952970958036,21
11,ridges,0,82.4797858136448,0.0,21
12,ridges,1,81.34789027284764,1.1645337004197913,21
13,ridges,2,87.15013537750139,2.179344993262064,21
14,ridges,3,95.46816669348776,2.833542683537691,21
15,ridges,4,104.71252949673166,3.663672722196151,21
16,ridges,5,116.47102357443202,5.060238968716329,21
17,ridges,6,128.52726232627822,5.238633066340607,21
18,ridges,7,141.95717484858352,5.548523761581842,21
